response,predictor,control,beta,pvalue,conf_int1,conf_int2
concrete,geodist_norm,genetic,0.014161755956811,1.9598705365636877e-56,0.0135583131950967,0.0147651987185254
concrete,contact_norm,genetic,-0.0057877219423282,1.6246617369806535e-11,-0.0063672324745815,-0.0052082114100748
concrete,neighbour,genetic,-0.0433926474482572,6.846935054204972e-140,-0.0445550520500974,-0.0422302428464169
abstract,geodist_norm,genetic,0.010998159067699,1.3701285070932418e-22,0.0102396687942555,0.0117566493411426
abstract,contact_norm,genetic,-0.0046288864371342,1.810263594592748e-05,-0.0053571506279102,-0.0039006222463581
abstract,neighbour,genetic,-0.0347597511130723,6.588791081139171e-58,-0.0362213077069613,-0.0332981945191833
concrete,genetic,geodist_norm,0.0489288956023764,1.3194262547651416e-15,0.0447999080098615,0.0530578831948912
concrete,genetic,contact_norm,0.0551479731084469,2.8518865898025802e-19,0.0510031607285375,0.0592927854883564
concrete,genetic,neighbour,0.0410286552430166,5.5121801640211964e-14,0.0373482784335286,0.0447090320525045
abstract,genetic,geodist_norm,0.1097859936449863,6.787125088351731e-46,0.1045789405655093,0.1149930467244633
abstract,genetic,contact_norm,0.1119549349960285,1.607691113232359e-47,0.106740190010419,0.1171696799816381
abstract,genetic,neighbour,0.1079628572693244,1.4926855374697944e-48,0.1029898531658863,0.1129358613727625
