response,predictor,control,beta,pvalue,conf_int1,conf_int2
phon,genetic,geodist_norm,0.3103945456667454,0.0,0.3099032902764914,0.3108858010569995
phon,geodist_norm,genetic,-0.000294066296096,0.4566765419799152,-0.0005605402581788,-2.7592334013294944e-05
phon,genetic,contact_norm,0.3102534748782848,0.0,0.3097579518452549,0.3107489979113148
phon,contact_norm,genetic,0.0007564145794765,0.0113040901953531,0.0005550080932768,0.0009578210656762
phon,genetic,neighbour,0.2951508116897535,0.0,0.2946573708241987,0.2956442525553083
phon,neighbour,genetic,-0.033704063362614,0.0,-0.0340542474481251,-0.0333538792771028
nuclear,genetic,geodist_norm,0.0607521326345376,9.367127114181737e-109,0.0589025741684361,0.0626016911006392
nuclear,geodist_norm,genetic,-0.0076182108998097,2.3903301000657587e-06,-0.0087074866046376,-0.0065289351949818
nuclear,genetic,contact_norm,0.0625611520754735,4.147157600996003e-114,0.0607025376082101,0.064419766542737
nuclear,contact_norm,genetic,-0.0164282109983063,3.046172930163968e-41,-0.0172520037483885,-0.0156044182482241
nuclear,genetic,neighbour,0.0589333386894576,4.241705304607579e-99,0.0570521042364811,0.0608145731424341
nuclear,neighbour,genetic,-0.021642545055986,4.4586434061743426e-24,-0.0230848613767207,-0.0202002287352513
syntactic,genetic,geodist_norm,0.1404028565380883,1.8893352317907948e-184,0.137133230682426,0.1436724823937505
syntactic,geodist_norm,genetic,-0.0171337516526306,2.075822185514607e-09,-0.0190624904576312,-0.0152050128476299
syntactic,genetic,contact_norm,0.138701839484805,2.7208313595593623e-177,0.1354065095381163,0.1419971694314938
syntactic,contact_norm,genetic,-0.0279670892055111,2.5760081100097923e-38,-0.029424526539854,-0.0265096518711683
syntactic,genetic,neighbour,0.1387225241311172,5.424023820456371e-174,0.1353952274029893,0.142049820859245
syntactic,neighbour,genetic,-0.0305725011282818,7.1741584848486295e-16,-0.0331285336585155,-0.028016468598048
