id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
hebr1245,hebr1246,Modern Hebrew,language,heb,heb,31.1056,35.0179,['Eurasia'],"['Israel', 'Jordan', 'Lebanon', 'Palestine, State of', 'Syrian Arab Republic']",,Hebrewic,Hebrewic,hebr1245,Afro-Asiatic,afro1255,Eurasia,1,Semitic,Greater Mesopotamia,Afro-Asiatic
amha1245,amha1244,Amharic,language,amh,amh,11.708182,39.543456,['Africa'],"['Djibouti', 'Ethiopia']",,Amharic-Argobba,Amharic-Argobba,amha1245,Afro-Asiatic,afro1255,Africa,1,Semitic,Greater Abyssinia,Afro-Asiatic
seba1251,ttgr1237,Sebat Bet Gurage,language,sgw,sgw,8.11879,37.9891,['Africa'],['Ethiopia'],,TT-Group,TT-Group,seba1251,Afro-Asiatic,afro1255,Africa,1,Semitic,Greater Abyssinia,Afro-Asiatic
tigr1271,ethi1244,Tigrinya,language,tir,tir,15.3359,38.9266,['Africa'],"['Djibouti', 'Eritrea', 'Ethiopia', 'Sudan']",,Ethiosemitic,Ethiosemitic,tigr1271,Afro-Asiatic,afro1255,Africa,1,Semitic,Greater Abyssinia,Afro-Asiatic
arap1274,arap1280,Arapaho,language,arp,arp,43.3879,-108.81,['North America'],['United States'],,Arapaho-Gros Ventre-Besawunena,Arapaho-Gros Ventre-Besawunena,arap1274,Algic,algi1248,North America,1,Algonquian,Basin and Plains,Algic
moos1236,cree1272,Moose Cree,language,crm,crm,51.0686,-80.6912,['North America'],['Canada'],,Cree,Cree,moos1236,Algic,algi1248,North America,1,,,
mikm1235,east2700,Mi'kmaq,language,mic,mic,46.0,-64.0,['North America'],"['Canada', 'United States']",,Eastern Algonquian,Eastern Algonquian,mikm1235,Algic,algi1248,North America,1,Algonquian,E North America,Algic
algo1255,seve1242,Algonquin,language,alq,alq,47.3876,-77.5258,['North America'],['Canada'],,Severn-Algonquin,Severn-Algonquin,algo1255,Algic,algi1248,North America,1,Algonquian,E North America,Algic
pota1247,ojib1240,Potawatomi,language,pot,pot,40.955,-89.1881,['North America'],"['Canada', 'United States']",,Ojibwa-Potawatomi,Ojibwa-Potawatomi,pota1247,Algic,algi1248,North America,1,Algonquian,E North America,Algic
anga1290,anga1289,Angaataha,language,agm,agm,-7.15012,146.352,['Papunesia'],['Papua New Guinea'],,,Angan,anga1290,Angan,anga1289,Papunesia,1,Angaataha,Interior New Guinea,Trans-New Guinea
