id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
basq1248,,Basque,language,eus,eus,43.2787,-1.31622,['Eurasia'],"['Spain', 'France']",,Basque,,basq1248,,,Eurasia,1,Basque,Europe,Basque
latv1249,east2280,Latvian,language,lav,lav,56.826108,24.309118,['Eurasia'],"['Belarus', 'Estonia', 'Lithuania', 'Latvia', 'Russian Federation']",,Eastern Baltic,Eastern Baltic,latv1249,Indo-European,indo1319,Eurasia,1,Baltic,Inner Asia,Indo-European
lith1251,east2280,Lithuanian,language,lit,lit,55.1429,23.9601,['Eurasia'],"['Belarus', 'Lithuania', 'Latvia', 'Poland', 'Russian Federation']",,Eastern Baltic,Eastern Baltic,lith1251,Indo-European,indo1319,Eurasia,1,Baltic,Inner Asia,Indo-European
bela1254,east1426,Belarusian,language,bel,bel,53.2307,25.6038,['Eurasia'],"['Belarus', 'Lithuania', 'Latvia', 'Poland', 'Russian Federation', 'Ukraine']",,East Slavic,East Slavic,bela1254,Indo-European,indo1319,Eurasia,1,Slavic,Inner Asia,Indo-European
russ1263,east1426,Russian,language,rus,rus,59.0,50.0,['Eurasia'],"['Belarus', 'China', 'Estonia', 'Finland', 'Georgia', 'Kyrgyzstan', ""Korea, Democratic People's Republic of"", 'Kazakhstan', 'Lithuania', 'Latvia', 'Moldova, Republic of', 'Mongolia', 'Norway', 'Poland', 'Romania', 'Russian Federation', 'Svalbard and Jan Mayen', 'Turkmenistan', 'Ukraine', 'Uzbekistan']",,East Slavic,East Slavic,russ1263,Indo-European,indo1319,Eurasia,1,Slavic,Inner Asia,Indo-European
bulg1262,mace1252,Bulgarian,language,bul,bul,43.3646,25.047,['Eurasia'],"['Bulgaria', 'Greece', 'Moldova, Republic of', 'North Macedonia', 'Romania', 'Serbia', 'Turkey', 'Ukraine']",,Macedo-Bulgarian,Macedo-Bulgarian,bulg1262,Indo-European,indo1319,Eurasia,1,Slavic,Europe,Indo-European
slov1268,west2804,Slovenian,language,slv,slv,46.2543,14.7766,['Eurasia'],"['Austria', 'Croatia', 'Hungary', 'Italy', 'Slovenia']",,Western South Slavic,Western South Slavic,slov1268,Indo-European,indo1319,Eurasia,1,Slavic,Europe,Indo-European
croa1245,east2821,Croatian Standard,dialect,hrv,hrv,45.555,15.982,['Eurasia'],"['Austria', 'Bosnia and Herzegovina', 'Croatia', 'Hungary', 'Italy', 'Montenegro', 'Serbia', 'Slovenia']",,Western South Slavic,Eastern Herzegovinian Shtokavian,croa1245,Indo-European,indo1319,Eurasia,1,,,
czec1258,czec1261,Czech,language,ces,ces,49.873398,15.10437,['Eurasia'],"['Austria', 'Czechia', 'Poland', 'Slovakia']",,Czech-Lach,Czech-Lach,czec1258,Indo-European,indo1319,Eurasia,1,Slavic,Europe,Indo-European
slov1269,czec1260,Slovak,language,slk,slk,48.545705,18.78479,['Eurasia'],"['Austria', 'Czechia', 'Hungary', 'Poland', 'Serbia', 'Slovakia', 'Ukraine']",,Czech-Slovak,Czech-Slovak,slov1269,Indo-European,indo1319,Eurasia,1,Slavic,Europe,Indo-European
