response,predictor,control,beta,pvalue,conf_int1,conf_int2
nuclear,geodist_norm,genetic,0.0254324678319806,1.608042672227015e-130,0.0247267807183533,0.0261381549456079
nuclear,contact_norm,genetic,0.0145088727466752,1.8333282175035809e-47,0.0138326427881299,0.0151851027052205
nuclear,neighbour,genetic,-0.0286809720844079,6.5713921032070315e-46,-0.0300410691922309,-0.0273208749765848
non_nuclear,geodist_norm,genetic,-0.0036045515630519,0.0002667271230232,-0.0042714394241314,-0.0029376637019723
non_nuclear,contact_norm,genetic,-0.0215816349875735,1.3039909985748568e-114,-0.0222213670643451,-0.0209419029108019
non_nuclear,neighbour,genetic,-0.0299634922999132,9.592806894698695e-56,-0.0312483961713297,-0.0286785884284968
emotion,geodist_norm,genetic,0.0377222250063318,0.0,0.0371583892158985,0.0382860607967651
emotion,contact_norm,genetic,0.022002043856025,8.031344698276167e-165,0.0214596566524959,0.0225444310595541
emotion,neighbour,genetic,-0.0341679499414866,2.514641753089222e-99,-0.0352573664186256,-0.0330785334643475
random,geodist_norm,genetic,-0.0087455883101027,1.7686063077229898e-07,-0.0098751639141423,-0.0076160127060631
random,contact_norm,genetic,-0.0304893156027953,2.8265014407704653e-80,-0.0315731835987387,-0.029405447606852
random,neighbour,genetic,-0.0321890185840123,1.991509411886604e-23,-0.0343659106181649,-0.0300121265498596
nuclear,genetic,geodist_norm,0.0687360630463903,2.2636845525738508e-24,0.0641850452116128,0.0732870808811679
nuclear,genetic,contact_norm,0.0745279892211705,3.0958439813265545e-29,0.0700494871665037,0.0790064912758373
nuclear,genetic,neighbour,0.0710177192804669,2.161805469488774e-26,0.0665115239763695,0.0755239145845642
non_nuclear,genetic,geodist_norm,-0.0066402572913397,0.2969623648871458,-0.0109345199528254,-0.002345994629854
non_nuclear,genetic,contact_norm,0.0026459208102267,0.6821064357814777,-0.0017112282818015,0.0070030699022549
non_nuclear,genetic,neighbour,0.007985693854587,0.2058771448026154,0.0037277193513428,0.0122436683578311
emotion,genetic,geodist_norm,0.0363879715427965,7.203127613534122e-11,0.032621560134956,0.040154382950637
emotion,genetic,contact_norm,0.031489131883816,5.775897465068502e-09,0.0278417579869921,0.0351365057806398
emotion,genetic,neighbour,0.0319716591791594,2.236852560848357e-09,0.0283653052577069,0.0355780131006119
random,genetic,geodist_norm,-0.023974791830326,0.0235217575774838,-0.0311146626487005,-0.0168349210119516
random,genetic,contact_norm,-0.0114801348451624,0.2877893961726593,-0.0187645684001244,-0.0041957012902003
random,genetic,neighbour,-0.0181758891576757,0.0885737211123556,-0.0253747549114889,-0.0109770234038625
